epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.1566675457000732,0.23605,2.0065019845962526,0.2825
2,1.9534825437545775,0.301075,1.8918771386146545,0.3199
3,1.8770303995132447,0.326125,1.8463138222694397,0.3338
4,1.8290657627105713,0.342225,1.8095921158790589,0.3504
5,1.794994216156006,0.359975,1.7851097345352174,0.3608
6,1.764286194419861,0.3702,1.748951494693756,0.3829
7,1.7402742332458496,0.378175,1.7229940533638,0.3851
8,1.7244266553878784,0.38425,1.7033539175987245,0.3911
9,1.7068634420394897,0.393175,1.6945014595985413,0.3983
10,1.6870042303085326,0.397675,1.6803385496139527,0.4031
11,1.6741548990249633,0.403075,1.6814152359962464,0.3937
12,1.6603846488952636,0.403725,1.6643018841743469,0.4103
13,1.650801962852478,0.4082,1.6511163711547852,0.4109
14,1.6438984298706054,0.413075,1.639578914642334,0.4168
15,1.632513907432556,0.41825,1.6271835207939147,0.4221
16,1.624693550491333,0.421325,1.6194539308547973,0.4262
17,1.6123786169052123,0.423875,1.6146364092826844,0.4251
18,1.6078925806045532,0.42645,1.6050635814666747,0.4281
19,1.5979665205001832,0.4303,1.5942049145698547,0.4348
20,1.590872640800476,0.429575,1.5926836729049683,0.4372
21,1.5804432392120362,0.436625,1.5862516522407533,0.4377
22,1.573057023048401,0.43815,1.582066547870636,0.4367
23,1.5645536643981934,0.441075,1.577146327495575,0.4392
24,1.5664432434082032,0.4427,1.5646814107894897,0.4438
25,1.5563821767807007,0.447775,1.570233452320099,0.4455
26,1.54929870262146,0.4469,1.5587677359580994,0.4464
27,1.5449937408447265,0.4518,1.557612419128418,0.4434
28,1.5431137214660644,0.449075,1.5551337361335755,0.4452
29,1.5352717567443848,0.453525,1.5413458108901978,0.4526
30,1.5329147525787354,0.45455,1.5551077127456665,0.4419
31,1.5237881317138673,0.458075,1.534010910987854,0.4544
32,1.5180561210632324,0.459825,1.533757245540619,0.4594
33,1.5127560554504396,0.4629,1.5254564046859742,0.464
34,1.5124072341918946,0.462175,1.5265859961509705,0.4581
35,1.5038897275924683,0.46415,1.5193232655525208,0.4604
36,1.5020577753067017,0.468,1.518989908695221,0.4615
37,1.496361460494995,0.468975,1.5137659072875977,0.4588
38,1.4885453046798707,0.470375,1.5064050793647765,0.4695
39,1.493580464553833,0.468775,1.4957421541213989,0.474
40,1.4857649166107179,0.472175,1.506240224838257,0.4649
41,1.4859601951599122,0.47075,1.5012959599494935,0.4645
42,1.4756346271514893,0.4739,1.4968934059143066,0.4664
43,1.476771504020691,0.4771,1.4969345092773438,0.4664
44,1.4748427734375,0.47715,1.4860222816467286,0.4738
45,1.4699897134780884,0.478625,1.4807465553283692,0.4792
46,1.4688968963623046,0.476925,1.4884438514709473,0.4718
47,1.4655537824630738,0.4817,1.4919567465782166,0.4724
48,1.4614321928024292,0.4769,1.4806342124938965,0.4791
49,1.457599218940735,0.48035,1.4759284853935242,0.4763
50,1.4558640996932983,0.478775,1.480083668231964,0.4747
51,1.4525181707382202,0.481325,1.470850932598114,0.4741
52,1.4470143882751465,0.4855,1.4748592376708984,0.4715
53,1.44495101146698,0.486675,1.4684927821159364,0.4784
54,1.4425309894561769,0.48775,1.4614547491073608,0.4819
55,1.4365570028305055,0.4895,1.4629400968551636,0.4786
56,1.4319529249191285,0.4899,1.4609007120132447,0.4854
57,1.436646097946167,0.484375,1.4566856503486634,0.4835
58,1.4299800943374634,0.491725,1.4582890391349792,0.4817
59,1.429609125137329,0.49055,1.450775682926178,0.4793
60,1.42831349773407,0.49215,1.450569212436676,0.487
61,1.4198242351531982,0.49315,1.4469521284103393,0.4883
62,1.4207266901016236,0.49465,1.4528912425041198,0.489
63,1.4156679222106934,0.497275,1.4462602615356446,0.4836
64,1.4123733518600463,0.4959,1.4329087734222412,0.4893
65,1.409748250389099,0.497975,1.443999469280243,0.4932
66,1.4090355297088624,0.4973,1.4355546236038208,0.4902
67,1.413948812866211,0.498625,1.4381216049194336,0.4907
68,1.410742433166504,0.497975,1.4210479259490967,0.4972
69,1.403136980819702,0.50025,1.4307267546653748,0.4945
70,1.3999869438171386,0.500525,1.4261748552322389,0.5017
71,1.4000952737808228,0.498075,1.433346426486969,0.4932
72,1.3985781141281128,0.503325,1.4260046005249023,0.4942
73,1.399049535369873,0.502075,1.426751160621643,0.4894
74,1.3908906757354735,0.5045,1.4286541104316712,0.4933
75,1.390649997138977,0.5031,1.4197290182113647,0.4974
76,1.3880765563964843,0.5072,1.4218975067138673,0.4988
77,1.3853636535644531,0.509875,1.421117913722992,0.4969
78,1.385662026977539,0.505575,1.418575608730316,0.4947
79,1.3824756565093994,0.510075,1.4094307661056518,0.5014
80,1.3800106063842774,0.5066,1.4085646271705627,0.5022
81,1.3802858821868897,0.507525,1.4143930792808532,0.4912
82,1.379368411064148,0.508075,1.4028689384460449,0.5001
83,1.378264024925232,0.5082,1.401849615573883,0.5008
84,1.3777928493499756,0.511225,1.400689947605133,0.5088
85,1.3720360363960267,0.511675,1.4035439133644103,0.5043
