epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.8561560522079468,0.33625,1.7179688334465026,0.3759
2,1.6694186944961549,0.3993,1.6323193311691284,0.4167
3,1.605342980003357,0.422475,1.5994627356529236,0.4219
4,1.5657745336532594,0.43545,1.5562777400016785,0.4409
5,1.531345079803467,0.44785,1.5218636870384217,0.4525
6,1.4987996978759766,0.4644,1.4926439642906189,0.4625
7,1.481064210319519,0.4662,1.4687070369720459,0.4738
8,1.4593633407592774,0.47435,1.4777252316474914,0.4653
9,1.4451380878448485,0.478675,1.4385312438011169,0.4863
10,1.4257456027984619,0.484325,1.447602379322052,0.4735
11,1.4117907070159912,0.493525,1.4435874462127685,0.4828
12,1.3965345849990844,0.49835,1.4062693953514098,0.4925
13,1.3807574132919311,0.503675,1.408905279636383,0.4908
14,1.370099387550354,0.505875,1.3856582522392273,0.5082
15,1.3587994481086731,0.508775,1.380580687522888,0.5109
16,1.3514888273239136,0.5135,1.3803112983703614,0.5069
17,1.3410168531417848,0.5158,1.377701461315155,0.5074
18,1.3317271401405335,0.521575,1.3635005712509156,0.5157
19,1.318139762878418,0.525375,1.362449288368225,0.511
20,1.3097813210487366,0.53025,1.3458786249160766,0.5215
21,1.2985559818267822,0.532775,1.339253056049347,0.5258
22,1.2933656377792357,0.53345,1.3345497131347657,0.5252
23,1.2872092814445495,0.537425,1.3601015567779542,0.5079
24,1.2793946783065795,0.53735,1.3347307443618774,0.5249
25,1.2656200634002686,0.5439,1.3457901358604432,0.525
26,1.267138182926178,0.545025,1.3107908844947815,0.5325
27,1.254871696949005,0.550725,1.3279012203216554,0.5331
28,1.2490710426330567,0.551875,1.318858528137207,0.5353
29,1.2389439918518066,0.553125,1.3147815942764283,0.5282
30,1.2395590391159057,0.555275,1.328013575077057,0.5267
31,1.2290366702079774,0.557125,1.3168182969093323,0.5316
32,1.2214464609146118,0.5608,1.3063640236854552,0.5351
33,1.214203856754303,0.5635,1.315246045589447,0.5394
34,1.2093909649848937,0.5645,1.287355089187622,0.548
35,1.2009467371940612,0.5692,1.2893924474716187,0.5414
36,1.1995746437072754,0.56965,1.2914918899536132,0.5407
37,1.1922487776756288,0.57125,1.28793523311615,0.5446
38,1.1846905200004578,0.57285,1.2874839782714844,0.5421
39,1.1777979868888855,0.575725,1.2967257738113402,0.5423
40,1.172607212638855,0.579175,1.2705853223800658,0.5523
41,1.1695364233016967,0.5771,1.2734336376190185,0.5472
42,1.1650336221694946,0.5801,1.2835368037223815,0.5516
43,1.1593118328094483,0.585075,1.2682048201560974,0.5524
44,1.15716012134552,0.5844,1.2661407589912415,0.5526
45,1.1476422616004944,0.58685,1.271326196193695,0.5537
46,1.1375324459075928,0.588625,1.2688811898231507,0.5498
47,1.135062631034851,0.590675,1.2829447507858276,0.5484
48,1.1318514260292054,0.593125,1.2713226079940796,0.555
49,1.1239578166007995,0.593325,1.261627435684204,0.5618
50,1.1195105487823487,0.596475,1.2762439250946045,0.552
51,1.1138310240745544,0.59925,1.2617166757583618,0.5547
52,1.1087488759040833,0.600625,1.266200065612793,0.5517
53,1.1000240602493285,0.6044,1.2565166234970093,0.5601
